Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
decimation_exhaustive,1,0-0-0-0-0-0-0-4-2-2-,1055,8,145,576,165,84,1734,825,8,8,8.00,85,0,0.78ns,-,-,-,-,47,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-2-3-,1055,8,145,576,165,84,1734,825,8,8,8.00,85,0,0.78ns,-,-,-,-,47,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-2-4-,1055,8,145,576,165,84,1734,825,8,8,8.00,85,0,0.78ns,-,-,-,-,47,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-2-5-,1055,8,145,576,165,84,1734,825,8,8,8.00,85,0,0.78ns,-,-,-,-,47,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-3-0-,356,4,22,198,60,42,617,285,4,4,4.00,34,0,0.53ns,-,-,-,-,14,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-3-1-,353,3,22,198,58,42,608,278,3,3,3.00,33,0,0.53ns,-,-,-,-,13,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-3-2-,183,2,4,114,25,24,301,140,2,2,2.00,16,0,0.31ns,-,-,-,-,3,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-3-4-,468,6,33,240,100,51,867,414,6,6,6.00,44,0,0.53ns,-,-,-,-,23,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-3-5-,468,6,33,240,100,51,867,414,6,6,6.00,44,0,0.53ns,-,-,-,-,23,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-4-0-,740,8,33,384,163,87,1365,635,8,8,8.00,73,0,0.53ns,-,-,-,-,29,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-4-1-,740,8,33,384,163,87,1365,635,8,8,8.00,73,0,0.53ns,-,-,-,-,29,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-4-2-,740,8,33,384,163,87,1365,635,8,8,8.00,73,0,0.53ns,-,-,-,-,29,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-4-3-,740,8,33,384,163,87,1365,635,8,8,8.00,73,0,0.53ns,-,-,-,-,29,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-4-4-,740,8,33,384,163,87,1365,635,8,8,8.00,73,0,0.53ns,-,-,-,-,29,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-4-5-,715,4,124,408,88,44,1080,507,4,4,4.00,51,0,0.78ns,-,-,-,-,31,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-5-0-,211,4,7,126,33,24,362,171,4,4,4.00,21,0,0.31ns,-,-,-,-,8,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-5-2-,640,8,37,336,128,75,1175,560,8,8,8.00,64,0,0.53ns,-,-,-,-,26,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-5-3-,640,8,37,336,128,75,1175,560,8,8,8.00,64,0,0.53ns,-,-,-,-,26,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-5-4-,640,8,37,336,128,75,1175,560,8,8,8.00,64,0,0.53ns,-,-,-,-,26,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-4-5-5-,640,8,37,336,128,75,1175,560,8,8,8.00,64,0,0.53ns,-,-,-,-,26,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-5-0-0-,795,10,57,396,179,84,1520,722,10,10,10.00,79,0,0.6225ns,-,-,-,-,54,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-5-0-2-,795,10,57,396,179,84,1520,722,10,10,10.00,79,0,0.6225ns,-,-,-,-,54,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-5-0-3-,795,10,57,396,179,84,1520,722,10,10,10.00,79,0,0.6225ns,-,-,-,-,54,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-5-0-4-,795,10,57,396,179,84,1520,722,10,10,10.00,79,0,0.6225ns,-,-,-,-,54,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-5-0-5-,795,10,57,396,179,84,1520,722,10,10,10.00,79,0,0.6225ns,-,-,-,-,54,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-5-1-3-,480,7,23,264,92,52,859,428,7,7,7.00,49,0,0.53ns,-,-,-,-,20,-,-
decimation_exhaustive,1,0-0-0-0-0-0-0-5-2-0-,183,2,4,114,25,24,301,140,2,2,2.00,16,0,0.31ns,-,-,-,-,3,-,-
