Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
Exhaustive Search,1,2-3-3-0-3-1-3-5-3-0-,134,3,12,78,22,11,243,130,3,2,2.50,11,0,0.47ns,-,-,-,-,8,-,-
Exhaustive Search,1,3-3-3-0-3-1-5-2-4-2-,405,3,16,222,80,48,716,320,3,3,3.00,39,0,0.47ns,-,-,-,-,8,-,-
Exhaustive Search,1,5-3-0-4-3-0-5-2-2-2-,813,5,128,462,106,56,1266,593,5,5,5.00,61,0,0.74ns,-,-,-,-,33,-,-
Exhaustive Search,1,3-0-4-1-5-1-3-2-3-2-,138,4,7,78,29,10,259,123,4,4,4.00,14,0,0.34ns,-,-,-,-,9,-,-
Exhaustive Search,1,3-3-0-0-3-1-3-2-3-3-,117,2,12,66,19,11,207,91,2,2,2.00,9,0,0.47ns,-,-,-,-,7,-,-
Exhaustive Search,1,3-2-0-0-3-1-2-2-4-1-,576,6,33,294,125,65,1061,474,6,6,6.00,59,0,0.53ns,-,-,-,-,27,-,-
Exhaustive Search,1,3-3-3-0-3-4-5-2-3-2-,103,2,4,66,13,12,177,80,2,2,2.00,8,0,0.31ns,-,-,-,-,3,-,-
Exhaustive Search,1,3-3-3-0-3-5-2-2-3-4-,173,2,18,96,29,18,300,135,2,2,2.00,12,0,0.53ns,-,-,-,-,11,-,-
Exhaustive Search,1,3-3-4-0-3-1-3-2-3-5-,110,2,4,66,21,10,198,91,2,2,2.00,9,0,0.34ns,-,-,-,-,4,-,-
Exhaustive Search,1,3-3-5-0-4-3-3-2-3-5-,110,2,4,66,21,10,198,91,2,2,2.00,9,0,0.34ns,-,-,-,-,4,-,-
Exhaustive Search,1,3-4-3-2-3-1-3-1-3-2-,14,2,1,12,1,0,34,12,2,2,2.00,0,0,0.09ns,-,-,-,-,3,-,-
Exhaustive Search,1,3-3-0-5-5-2-4-6-3-1-,267,4,12,144,54,29,479,215,4,4,4.00,28,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,5-3-0-3-5-3-3-6-0-2-,439,4,36,228,91,44,786,359,4,4,4.00,40,0,0.6225ns,-,-,-,-,31,-,-
Exhaustive Search,1,3-4-0-5-5-2-4-3-4-2-,553,6,13,300,119,65,992,442,6,6,6.00,56,0,0.47ns,-,-,-,-,20,-,-
Exhaustive Search,1,5-3-0-1-5-2-4-3-4-0-,544,5,12,294,118,65,974,434,5,5,5.00,55,0,0.47ns,-,-,-,-,18,-,-
Exhaustive Search,1,3-3-0-2-5-2-4-3-4-0-,544,5,12,294,118,65,974,434,5,5,5.00,55,0,0.47ns,-,-,-,-,18,-,-
Exhaustive Search,1,3-3-0-5-5-2-5-4-3-5-,219,4,16,120,38,23,398,182,4,4,4.00,22,0,0.47ns,-,-,-,-,10,-,-
Exhaustive Search,1,3-3-2-0-5-2-4-6-3-5-,263,3,12,144,52,29,467,207,3,3,3.00,26,0,0.47ns,-,-,-,-,12,-,-
Exhaustive Search,1,5-3-2-0-5-4-2-4-3-5-,282,3,30,144,53,29,514,230,3,3,3.00,26,0,0.53ns,-,-,-,-,17,-,-
Exhaustive Search,1,3-0-2-0-5-2-4-4-2-5-,869,6,127,486,127,62,1375,638,6,6,6.00,67,0,0.74ns,-,-,-,-,40,-,-
Exhaustive Search,1,3-3-2-1-5-2-5-4-3-5-,216,3,16,120,36,23,389,175,3,3,3.00,21,0,0.47ns,-,-,-,-,9,-,-
Exhaustive Search,1,2-0-5-0-5-2-5-2-5-4-,412,7,19,228,76,47,740,368,7,7,7.00,42,0,0.47ns,-,-,-,-,17,-,-
Exhaustive Search,1,3-3-2-1-5-0-0-4-0-5-,598,5,54,300,126,62,1095,496,5,5,5.00,56,0,0.6225ns,-,-,-,-,41,-,-
Exhaustive Search,1,4-3-2-1-0-3-5-4-3-2-,414,7,16,222,85,44,768,379,7,7,7.00,47,0,0.47ns,-,-,-,-,20,-,-
Exhaustive Search,1,3-3-0-5-3-2-5-4-3-5-,219,4,16,120,38,23,398,182,4,4,4.00,22,0,0.47ns,-,-,-,-,10,-,-
Exhaustive Search,1,3-3-2-1-5-2-5-4-3-0-,216,3,16,120,36,23,389,175,3,3,3.00,21,0,0.47ns,-,-,-,-,9,-,-
Exhaustive Search,1,4-3-2-1-5-0-5-4-3-0-,331,5,16,180,66,33,605,305,5,4,4.50,36,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,3-4-2-5-5-2-5-4-3-1-,227,4,17,126,39,23,408,186,4,4,4.00,22,0,0.47ns,-,-,-,-,11,-,-
Exhaustive Search,1,3-3-3-1-5-2-5-0-3-4-,103,2,4,66,13,12,177,80,2,2,2.00,8,0,0.31ns,-,-,-,-,3,-,-
Exhaustive Search,1,3-3-3-1-5-2-5-5-3-4-,103,2,4,66,13,12,177,80,2,2,2.00,8,0,0.31ns,-,-,-,-,3,-,-
Exhaustive Search,1,3-3-2-1-5-1-5-0-3-2-,216,3,16,120,36,23,389,175,3,3,3.00,21,0,0.47ns,-,-,-,-,9,-,-
Exhaustive Search,1,3-4-0-1-2-4-5-4-3-5-,319,6,17,174,60,34,589,269,6,6,6.00,34,0,0.47ns,-,-,-,-,18,-,-
Exhaustive Search,1,3-3-3-1-4-2-5-5-3-4-,207,3,4,120,37,22,363,172,3,3,3.00,24,0,0.34ns,-,-,-,-,6,-,-
Exhaustive Search,1,4-3-0-1-4-4-5-0-3-4-,417,6,16,228,86,43,755,378,6,6,6.00,44,0,0.47ns,-,-,-,-,14,-,-
