Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
ave16_exhaustive,1,0-0-0-,783,19,267,270,188,0,1893,840,19,19,19.00,58,-,1.4801ns,-,-,-,-,47,-,-
ave16_exhaustive,1,0-0-1-,1926,17,465,798,619,0,4079,1591,17,17,17.00,44,-,2.475ns,-,-,-,-,17,-,-
ave16_exhaustive,1,0-0-2-,1452,12,470,624,320,0,2947,1286,12,12,12.00,38,-,2.27ns,-,-,-,-,24,-,-
ave16_exhaustive,1,0-0-3-,2256,8,884,996,342,0,4175,1929,8,8,8.00,34,-,2.96ns,-,-,-,-,12,-,-
ave16_exhaustive,1,0-0-4-,1940,3,1713,204,16,0,4081,2138,3,3,3.00,7,-,3.46ns,-,-,-,-,3,-,-
ave16_exhaustive,1,0-1-0-,663,6,288,270,91,0,1266,588,6,6,6.00,14,-,1.4801ns,-,-,-,-,62,-,-
ave16_exhaustive,1,0-1-1-,2617,19,899,1062,597,0,5353,2307,19,19,19.00,59,-,3.71ns,-,-,-,-,47,-,-
ave16_exhaustive,1,0-1-2-,956,7,488,288,157,0,1970,946,7,7,7.00,23,-,2.1701ns,-,-,-,-,47,-,-
ave16_exhaustive,1,0-1-3-,1483,7,902,294,250,0,3284,1587,7,7,7.00,37,-,2.7901ns,-,-,-,-,39,-,-
ave16_exhaustive,1,0-1-4-,2389,6,1731,300,305,0,5215,2563,6,6,6.00,53,-,3.51ns,-,-,-,-,34,-,-
ave16_exhaustive,1,0-2-0-,783,19,267,270,188,0,1893,840,19,19,19.00,58,-,1.4801ns,-,-,-,-,47,-,-
ave16_exhaustive,1,0-2-1-,1926,17,465,798,619,0,4079,1591,17,17,17.00,44,-,2.475ns,-,-,-,-,17,-,-
ave16_exhaustive,1,0-2-2-,1452,12,470,624,320,0,2947,1286,12,12,12.00,38,-,2.27ns,-,-,-,-,24,-,-
ave16_exhaustive,1,0-2-3-,2256,8,884,996,342,0,4175,1929,8,8,8.00,34,-,2.96ns,-,-,-,-,12,-,-
ave16_exhaustive,1,0-2-4-,1940,3,1713,204,16,0,4081,2138,3,3,3.00,7,-,3.46ns,-,-,-,-,3,-,-
ave16_exhaustive,1,0-3-0-,741,7,278,282,160,0,1501,708,7,7,7.00,21,-,1.6801ns,-,-,-,-,47,-,-
ave16_exhaustive,1,0-3-1-,2017,13,891,684,396,0,4039,1774,13,13,13.00,46,-,3.665ns,-,-,-,-,25,-,-
ave16_exhaustive,1,0-3-2-,887,8,481,294,92,0,1785,864,8,8,8.00,20,-,2.1701ns,-,-,-,-,32,-,-
ave16_exhaustive,1,0-3-3-,1934,8,935,318,626,0,4785,2125,8,8,8.00,55,-,2.96ns,-,-,-,-,30,-,-
ave16_exhaustive,1,0-3-4-,3958,8,2372,1068,424,0,7675,3751,8,8,8.00,94,-,3.51ns,-,-,-,-,32,-,-
ave16_exhaustive,1,0-4-0-,794,7,274,264,225,0,1769,829,7,7,7.00,31,-,1.7301ns,-,-,-,-,39,-,-
ave16_exhaustive,1,0-4-1-,1749,9,1094,468,160,0,3512,1715,9,9,9.00,27,-,3.65ns,-,-,-,-,13,-,-
ave16_exhaustive,1,0-4-2-,913,9,291,282,297,0,2145,964,9,9,9.00,43,-,1.8051ns,-,-,-,-,31,-,-
ave16_exhaustive,1,0-4-3-,1322,8,891,282,127,0,2860,1419,8,8,8.00,22,-,2.7901ns,-,-,-,-,16,-,-
ave16_exhaustive,1,0-4-4-,5424,12,2438,1170,1651,0,12264,5196,12,12,12.00,165,-,3.51ns,-,-,-,-,28,-,-
ave16_exhaustive,1,0-5-0-,886,5,267,258,324,0,2192,1004,5,5,5.00,37,-,1.8201ns,-,-,-,-,33,-,-
ave16_exhaustive,1,0-5-1-,1940,3,1713,204,16,0,4081,2138,3,3,3.00,7,-,3.46ns,-,-,-,-,3,-,-
ave16_exhaustive,1,0-5-2-,1270,7,285,276,653,0,3335,1381,7,7,7.00,56,-,1.8951ns,-,-,-,-,25,-,-
ave16_exhaustive,1,0-5-3-,2887,9,949,528,1315,0,7130,2917,9,9,9.00,95,-,3.1401ns,-,-,-,-,19,-,-
ave16_exhaustive,1,0-5-4-,1940,3,1713,204,16,0,4081,2138,3,3,3.00,7,-,3.46ns,-,-,-,-,3,-,-
ave16_exhaustive,1,1-0-0-,1538,2,267,990,278,0,2308,1033,3,3,3.00,3,0,1.8173ns,-,-,-,-,16,-,-
ave16_exhaustive,1,1-0-1-,1495,1,775,720,0,0,2172,1092,2,2,2.00,0,0,1.335ns,-,-,-,-,1,-,-
ave16_exhaustive,1,1-0-2-,1773,2,517,984,269,0,2812,1310,3,3,3.00,3,0,2.408ns,-,-,-,-,8,-,-
ave16_exhaustive,1,1-0-3-,2088,2,823,978,284,0,3520,1702,3,3,3.00,3,0,2.9273ns,-,-,-,-,4,-,-
ave16_exhaustive,1,1-0-4-,1495,1,775,720,0,0,2172,1092,2,2,2.00,0,0,1.335ns,-,-,-,-,1,-,-
ave16_exhaustive,1,1-1-0-,1643,4,288,1002,303,25,2580,1164,5,4,4.50,25,0,2.0373ns,-,-,-,-,32,-,-
ave16_exhaustive,1,1-1-1-,1924,3,793,804,282,25,3470,1609,4,3,3.50,20,0,1.335ns,-,-,-,-,17,-,-
ave16_exhaustive,1,1-1-2-,1899,4,535,996,310,28,3137,1462,5,4,4.50,30,0,2.668ns,-,-,-,-,24,-,-
ave16_exhaustive,1,1-1-3-,2255,4,854,996,343,20,3958,1916,5,4,4.50,42,0,3.2473ns,-,-,-,-,20,-,-
ave16_exhaustive,1,1-1-4-,1968,3,793,804,327,8,3595,1690,4,3,3.50,36,0,1.335ns,-,-,-,-,17,-,-
ave16_exhaustive,1,1-2-0-,1538,2,267,990,278,0,2308,1033,3,3,3.00,3,0,1.8173ns,-,-,-,-,16,-,-
ave16_exhaustive,1,1-2-1-,1495,1,775,720,0,0,2172,1092,2,2,2.00,0,0,1.335ns,-,-,-,-,1,-,-
ave16_exhaustive,1,1-2-2-,1773,2,517,984,269,0,2812,1310,3,3,3.00,3,0,2.408ns,-,-,-,-,8,-,-
ave16_exhaustive,1,1-2-3-,2088,2,823,978,284,0,3520,1702,3,3,3.00,3,0,2.9273ns,-,-,-,-,4,-,-
ave16_exhaustive,1,1-2-4-,1495,1,775,720,0,0,2172,1092,2,2,2.00,0,0,1.335ns,-,-,-,-,1,-,-
ave16_exhaustive,1,1-3-0-,1646,4,278,996,316,28,2633,1178,5,4,4.50,28,0,2.1086ns,-,-,-,-,24,-,-
ave16_exhaustive,1,1-3-1-,1910,3,785,798,279,28,3470,1598,4,3,3.50,20,0,1.335ns,-,-,-,-,9,-,-
ave16_exhaustive,1,1-3-2-,1870,4,528,990,299,28,3088,1437,5,4,4.50,25,0,2.598ns,-,-,-,-,16,-,-
ave16_exhaustive,1,1-3-3-,2446,5,874,1050,440,20,4485,2146,6,5,5.50,62,0,3.2523ns,-,-,-,-,19,-,-
ave16_exhaustive,1,1-3-4-,2219,4,810,828,488,8,4458,2061,5,4,4.50,85,0,1.335ns,-,-,-,-,16,-,-
ave16_exhaustive,1,1-4-0-,1671,4,274,996,347,20,2747,1247,5,4,4.50,34,0,2.0646ns,-,-,-,-,20,-,-
ave16_exhaustive,1,1-4-1-,1904,3,780,792,292,20,3502,1635,4,3,3.50,20,0,1.335ns,-,-,-,-,5,-,-
ave16_exhaustive,1,1-4-2-,2266,4,707,996,507,20,4102,1907,5,4,4.50,36,0,3.3046ns,-,-,-,-,12,-,-
ave16_exhaustive,1,1-4-3-,2199,4,843,984,327,20,3873,1874,5,4,4.50,25,0,3.0873ns,-,-,-,-,8,-,-
ave16_exhaustive,1,1-4-4-,2775,6,876,930,809,8,5893,2600,7,6,6.50,152,0,1.335ns,-,-,-,-,14,-,-
ave16_exhaustive,1,1-5-0-,1583,2,267,990,323,0,2422,1102,3,3,3.00,3,0,1.9186ns,-,-,-,-,16,-,-
ave16_exhaustive,1,1-5-1-,1495,1,775,720,0,0,2172,1092,2,2,2.00,0,0,1.335ns,-,-,-,-,1,-,-
ave16_exhaustive,1,1-5-2-,2203,2,701,990,508,0,3820,1794,3,3,3.00,4,0,3.1586ns,-,-,-,-,8,-,-
ave16_exhaustive,1,1-5-3-,2967,2,1096,990,878,0,5680,2627,3,3,3.00,3,0,3.7786ns,-,-,-,-,4,-,-
ave16_exhaustive,1,1-5-4-,1495,1,775,720,0,0,2172,1092,2,2,2.00,0,0,1.335ns,-,-,-,-,1,-,-
ave16_meta,1,1-4-2-,2266,4,707,996,507,20,4102,1907,5,4,4.50,36,0,3.3046ns,-,-,-,-,12,-,-
ave16_meta,1,1-5-0-,1583,2,267,990,323,0,2422,1102,3,3,3.00,3,0,1.9186ns,-,-,-,-,16,-,-
ave16_meta,1,1-5-2-,2203,2,701,990,508,0,3820,1794,3,3,3.00,4,0,3.1586ns,-,-,-,-,8,-,-
ave16_meta,1,1-4-0-,1671,4,274,996,347,20,2747,1247,5,4,4.50,34,0,2.0646ns,-,-,-,-,20,-,-
ave16_meta,1,0-0-2-,1452,12,470,624,320,0,2947,1286,12,12,12.00,38,-,2.27ns,-,-,-,-,24,-,-
ave16_meta,1,1-5-4-,1495,1,775,720,0,0,2172,1092,2,2,2.00,0,0,1.335ns,-,-,-,-,1,-,-
ave16_meta,1,1-3-4-,2219,4,810,828,488,8,4458,2061,5,4,4.50,85,0,1.335ns,-,-,-,-,16,-,-
ave16_meta,1,0-1-3-,1483,7,902,294,250,0,3284,1587,7,7,7.00,37,-,2.7901ns,-,-,-,-,39,-,-
ave16_meta,1,0-4-3-,1322,8,891,282,127,0,2860,1419,8,8,8.00,22,-,2.7901ns,-,-,-,-,16,-,-
ave16_meta,1,1-3-3-,2446,5,874,1050,440,20,4485,2146,6,5,5.50,62,0,3.2523ns,-,-,-,-,19,-,-
ave16_meta,1,1-3-0-,1646,4,278,996,316,28,2633,1178,5,4,4.50,28,0,2.1086ns,-,-,-,-,24,-,-
ave16_meta,1,0-4-2-,913,9,291,282,297,0,2145,964,9,9,9.00,43,-,1.8051ns,-,-,-,-,31,-,-
ave16_meta,1,0-4-1-,1749,9,1094,468,160,0,3512,1715,9,9,9.00,27,-,3.65ns,-,-,-,-,13,-,-
ave16_meta,1,0-2-4-,1940,3,1713,204,16,0,4081,2138,3,3,3.00,7,-,3.46ns,-,-,-,-,3,-,-
ave16_meta,1,0-5-4-,1940,3,1713,204,16,0,4081,2138,3,3,3.00,7,-,3.46ns,-,-,-,-,3,-,-
ave16_meta,1,1-4-4-,2775,6,876,930,809,8,5893,2600,7,6,6.50,152,0,1.335ns,-,-,-,-,14,-,-
ave16_meta,1,1-1-4-,1968,3,793,804,327,8,3595,1690,4,3,3.50,36,0,1.335ns,-,-,-,-,17,-,-
ave16_meta,1,0-3-4-,3958,8,2372,1068,424,0,7675,3751,8,8,8.00,94,-,3.51ns,-,-,-,-,32,-,-
ave16_meta,1,0-5-0-,886,5,267,258,324,0,2192,1004,5,5,5.00,37,-,1.8201ns,-,-,-,-,33,-,-
ave16_meta,1,1-5-3-,2967,2,1096,990,878,0,5680,2627,3,3,3.00,3,0,3.7786ns,-,-,-,-,4,-,-
ave16_meta,1,1-2-1-,1495,1,775,720,0,0,2172,1092,2,2,2.00,0,0,1.335ns,-,-,-,-,1,-,-
ave16_meta,1,0-5-2-,1270,7,285,276,653,0,3335,1381,7,7,7.00,56,-,1.8951ns,-,-,-,-,25,-,-
ave16_meta,1,1-2-0-,1538,2,267,990,278,0,2308,1033,3,3,3.00,3,0,1.8173ns,-,-,-,-,16,-,-
