Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
Exhaustive Search,48,RAMEXPANDEXPANDallallall,974,1,736,192,44,0,1593,752,1,1,1.00,2,0,2.614ns,-,-,-,-,1,-,-
Exhaustive Search,49,RAMEXPANDROM000,
Exhaustive Search,50,RAMEXPANDROM00all,
Exhaustive Search,51,RAMEXPANDROM0all0,
Exhaustive Search,52,RAMEXPANDROM0allall,1636,3,624,708,280,9,2978,1372,3,2,2.50,15,0,2.66ns,-,-,-,-,4,-,-
Exhaustive Search,53,RAMEXPANDROMall00,
Exhaustive Search,54,RAMEXPANDROMall0all,
Exhaustive Search,55,RAMEXPANDROMallall0,
Exhaustive Search,56,RAMEXPANDROMallallall,974,1,736,192,44,0,1593,752,1,1,1.00,2,0,2.614ns,-,-,-,-,1,-,-
Exhaustive Search,57,RAMEXPANDLOGIC000,
Exhaustive Search,58,RAMEXPANDLOGIC00all,
Exhaustive Search,59,RAMEXPANDLOGIC0all0,
Exhaustive Search,60,RAMEXPANDLOGIC0allall,1636,3,624,708,280,9,2978,1372,3,2,2.50,15,0,2.66ns,-,-,-,-,4,-,-
Exhaustive Search,61,RAMEXPANDLOGICall00,
Exhaustive Search,62,RAMEXPANDLOGICall0all,
Exhaustive Search,63,RAMEXPANDLOGICallall0,
Exhaustive Search,64,RAMEXPANDLOGICallallall,974,1,736,192,44,0,1593,752,1,1,1.00,2,0,2.614ns,-,-,-,-,1,-,-
Exhaustive Search,65,RAMROMREG000,2662,7,1127,972,474,19,5010,2171,7,7,7.00,70,-,6.2125ns,-,-,-,-,26,-,-
Exhaustive Search,66,RAMROMREG00all,4225,7,2532,1056,555,19,7525,3446,7,7,7.00,63,-,7.8515ns,-,-,-,-,14,-,-
Exhaustive Search,67,RAMROMREG0all0,2730,9,1221,954,481,9,5129,2251,9,9,9.00,65,-,6.1075ns,-,-,-,-,22,-,-
Exhaustive Search,68,RAMROMREG0allall,1636,3,624,708,280,9,2978,1372,3,2,2.50,15,0,2.66ns,-,-,-,-,4,-,-
Exhaustive Search,69,RAMROMREGall00,2348,3,1123,816,360,0,4318,1928,3,3,3.00,49,-,6.1425ns,-,-,-,-,19,-,-
