Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
Exhaustive Search,1,2-2-2-1-5-4-0-1-4-4-,660,7,33,342,145,76,1213,564,7,7,7.00,64,0,0.53ns,-,-,-,-,28,-,-
Exhaustive Search,1,2-2-2-1-5-4-3-1-4-4-,502,5,15,270,111,58,905,423,5,4,4.50,48,0,0.47ns,-,-,-,-,17,-,-
Exhaustive Search,1,2-2-2-1-0-4-0-1-5-4-,660,9,37,342,137,75,1237,595,9,9,9.00,69,0,0.53ns,-,-,-,-,32,-,-
Exhaustive Search,1,2-2-2-1-2-4-0-1-4-2-,736,7,33,384,161,87,1343,621,7,7,7.00,71,0,0.53ns,-,-,-,-,28,-,-
Exhaustive Search,1,2-2-2-1-5-5-3-1-5-4-,403,5,19,222,76,46,721,354,5,4,4.50,40,0,0.47ns,-,-,-,-,14,-,-
Exhaustive Search,1,2-2-2-1-2-5-3-1-5-4-,479,5,19,264,92,57,851,411,5,4,4.50,47,0,0.47ns,-,-,-,-,14,-,-
Exhaustive Search,1,2-2-2-1-5-4-3-1-5-4-,403,5,19,222,76,46,721,354,5,4,4.50,40,0,0.47ns,-,-,-,-,14,-,-
Exhaustive Search,1,2-2-2-5-5-5-3-1-5-4-,403,5,19,222,76,46,721,354,5,4,4.50,40,0,0.47ns,-,-,-,-,14,-,-
Exhaustive Search,1,3-3-2-1-5-4-3-1-5-4-,296,3,16,168,48,35,513,235,3,3,3.00,29,0,0.47ns,-,-,-,-,9,-,-
Exhaustive Search,1,3-3-2-1-5-5-3-1-5-3-,296,3,16,168,48,35,513,235,3,3,3.00,29,0,0.47ns,-,-,-,-,9,-,-
Exhaustive Search,1,3-3-2-1-5-4-3-5-5-4-,296,3,16,168,48,35,513,235,3,3,3.00,29,0,0.47ns,-,-,-,-,9,-,-
Exhaustive Search,1,0-3-2-1-5-4-3-1-5-4-,398,5,16,222,73,46,709,347,5,5,5.00,41,0,0.47ns,-,-,-,-,16,-,-
Exhaustive Search,1,3-2-2-1-5-5-3-1-5-4-,310,4,19,168,54,35,550,255,4,4,4.00,34,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,3-2-2-1-5-5-3-4-5-4-,310,4,19,168,54,35,550,255,4,4,4.00,34,0,0.47ns,-,-,-,-,13,-,-
Exhaustive Search,1,3-3-5-1-5-5-3-1-5-4-,183,2,4,114,25,24,301,140,2,2,2.00,16,0,0.31ns,-,-,-,-,3,-,-
Exhaustive Search,1,2-3-5-1-5-5-3-1-0-4-,446,4,36,234,93,44,798,384,4,4,4.00,39,0,0.6225ns,-,-,-,-,31,-,-
Exhaustive Search,1,0-3-2-1-5-1-3-1-5-4-,398,5,16,222,73,46,709,347,5,5,5.00,41,0,0.47ns,-,-,-,-,16,-,-
Exhaustive Search,1,3-2-5-1-5-2-3-1-5-4-,204,3,7,120,31,24,352,166,3,3,3.00,22,0,0.31ns,-,-,-,-,7,-,-
Exhaustive Search,1,3-0-5-1-5-5-3-1-5-4-,211,4,7,126,33,24,362,171,4,4,4.00,21,0,0.31ns,-,-,-,-,8,-,-
Exhaustive Search,1,0-3-5-1-5-5-3-1-5-4-,307,4,16,174,52,35,536,268,4,4,4.00,30,0,0.47ns,-,-,-,-,10,-,-
Exhaustive Search,1,3-3-5-1-0-5-3-1-5-4-,299,4,16,168,50,35,522,242,4,4,4.00,30,0,0.47ns,-,-,-,-,10,-,-
Exhaustive Search,1,3-2-5-1-5-5-3-1-5-4-,204,3,7,120,31,24,352,166,3,3,3.00,22,0,0.31ns,-,-,-,-,7,-,-
Exhaustive Search,1,3-2-5-1-0-2-3-1-5-1-,320,5,19,174,58,35,577,270,5,5,5.00,34,0,0.47ns,-,-,-,-,14,-,-
Exhaustive Search,1,2-3-5-1-5-2-3-1-5-4-,306,4,16,174,52,35,534,267,4,3,3.50,29,0,0.47ns,-,-,-,-,10,-,-
Exhaustive Search,1,3-4-5-1-2-5-3-1-5-4-,307,4,17,174,51,35,532,246,4,4,4.00,30,0,0.47ns,-,-,-,-,11,-,-
Exhaustive Search,1,3-2-4-1-5-2-3-1-5-4-,300,4,7,168,55,34,519,249,4,4,4.00,36,0,0.34ns,-,-,-,-,10,-,-
Exhaustive Search,1,3-3-3-1-5-5-3-4-4-4-,303,2,12,168,62,36,530,231,2,2,2.00,25,0,0.47ns,-,-,-,-,6,-,-
