Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
ave_exhaustive,1,1-3-4-,97,4,35,42,15,0,196,105,5,4,4.50,5,0,0.412ns,-,-,-,-,16,-,-
ave_exhaustive,1,1-4-0-,239,3,17,132,48,20,415,196,4,4,4.00,22,0,0.33ns,-,-,-,-,19,-,-
ave_exhaustive,1,1-4-1-,198,2,5,114,42,20,337,161,3,3,3.00,17,0,0.33ns,-,-,-,-,4,-,-
ave_exhaustive,1,1-4-2-,258,3,34,132,48,20,468,219,4,4,4.00,24,0,0.451ns,-,-,-,-,11,-,-
ave_exhaustive,1,1-4-3-,220,3,10,120,48,20,394,189,4,4,4.00,22,0,0.33ns,-,-,-,-,7,-,-
ave_exhaustive,1,1-4-4-,175,6,101,48,18,0,409,212,7,6,6.50,8,0,0.402ns,-,-,-,-,14,-,-
ave_exhaustive,1,1-5-0-,42,2,10,30,2,0,53,29,3,3,3.00,0,0,0.17ns,-,-,-,-,16,-,-
ave_exhaustive,1,1-5-2-,61,2,28,30,2,0,92,47,3,3,3.00,1,0,0.388ns,-,-,-,-,8,-,-
ave_exhaustive,1,1-5-3-,100,2,68,30,2,0,198,97,3,3,3.00,0,0,0.496ns,-,-,-,-,4,-,-
ave_meta_30,1,1-4-2-,258,3,34,132,48,20,468,219,4,4,4.00,24,0,0.451ns,-,-,-,-,11,-,-
ave_meta_30,1,1-5-0-,42,2,10,30,2,0,53,29,3,3,3.00,0,0,0.17ns,-,-,-,-,16,-,-
ave_meta_30,1,1-5-2-,61,2,28,30,2,0,92,47,3,3,3.00,1,0,0.388ns,-,-,-,-,8,-,-
ave_meta_30,1,1-4-0-,239,3,17,132,48,20,415,196,4,4,4.00,22,0,0.33ns,-,-,-,-,19,-,-
ave_meta_30,1,0-0-2-,1217,12,470,432,272,0,2719,1251,12,12,12.00,43,-,2.27ns,-,-,-,-,24,-,-
ave_meta_30,1,1-1-1-,230,2,18,126,44,25,385,181,3,3,3.00,17,0,0.52ns,-,-,-,-,16,-,-
ave_meta_30,1,1-4-4-,175,6,101,48,18,0,409,212,7,6,6.50,8,0,0.402ns,-,-,-,-,14,-,-
ave_meta_30,1,0-4-4-,4680,12,2022,786,1707,0,11415,4783,12,12,12.00,165,-,3.51ns,-,-,-,-,28,-,-
ave_meta_30,1,1-1-4-,54,2,18,30,5,0,91,45,3,3,3.00,1,0,0.26ns,-,-,-,-,16,-,-
ave_meta_30,1,1-1-0-,269,3,31,138,52,25,467,218,4,4,4.00,23,0,0.52ns,-,-,-,-,31,-,-
ave_meta_30,1,0-3-1-,1924,13,891,654,336,0,3818,1755,13,13,13.00,43,-,3.4101ns,-,-,-,-,25,-,-
ave_meta_30,1,0-3-4-,3542,8,2164,876,408,0,7062,3493,8,8,8.00,94,-,3.51ns,-,-,-,-,32,-,-
ave_meta_30,1,0-0-4-,3401,4,2129,972,290,0,6824,3426,4,4,4.00,10,-,3.46ns,-,-,-,-,4,-,-
ave_meta_30,1,0-5-4-,3401,4,2129,972,290,0,6824,3426,4,4,4.00,10,-,3.46ns,-,-,-,-,4,-,-
